0,1,2,3
Cause of Death,Wolf Management Unit,State,"% of 
Total"
,"1 
2 
3 
4 
5 
6",Total,
"Human Caused 
Mortality",,,
Agency Control,"6 
3 
1",10,3.8%
Legally Harvested,"53ᵇ 
43ᵇ 
42ᵇ 
4 
31 
45ᵇ",218,82.8%
Vehicle Collision,"3b 
6 
1 
3 
9",22,8.3%
Illegally Killed,"4c 
1 
1a 
2",8,3.0%
Capture Related,,0,0.0%
"Unknown Human 
Caused",2 a,2,0.7%
Total Human Caused,"66 
49 
47 
4 
38 
56",260,98.6%
Natural Mortality,,,
Disease / Injury,1a,1,0.4%
"Intra-specific 
Aggression",,0,
"Euthanized (non-
control)",,0,
Total Natural Causes,"0 
0 
0 
0 
1 
0",1,0.4%
Unknown Causes,"0 
1 
0 
0 
0 
1",2,0.7%
"Total Detected 
Mortality","66 
50 
47 
4 
39 
57",263,100.0%
Cause of Death,Wolf Management Unit,State,"% of 
Total"
,"1 
2 
3 
4 
5 
6",Total,
"Human Caused 
Mortality",,,
Agency Control,"52b 
9 
2 
0 
0 
2",65,70.7%
Vehicle Collision,"2 
4a 
0 
5 
4 
0",15,16.3%
Illegally Killed,"4a* 
2a 
1 
1 
1 
0",9,9.8%
Capture Related,"0 
0 
0 
0 
0 
0",0,0.0%
"Total Human 
Caused","58 
5 
11 
0 
8 
7 
89",,96.7%
"Natural 
  
  
  
  
  
  
  
  
Mortality",,,
Disease / Injury,"0 
0 
0 
0 
0 
0",0,0.0%
"Intra-specific 
Aggression","1 
0 
1 
0 
0 
0",2,2.2%
"Euthanized (non-
control)","0 
 0 
0 
0 
0 
0",0,0.0%
"Total Natural 
Causes","1 
0 
1 
0 
0 
0",2,2.2%
Unknown Causes,"0 
0 
0 
0 
1a 
0",1,1.1%
"Total Detected 
Mortality","59 
5 
13 
0 
9 
7",92,100.0%
n,"Body Condition 
Good 
Fair 
Poor",# (%) w/Mange,# (%) w/Ticks
Unit 1,,,
"Research Captures 
17","16 (94%) 
 
1 (6%)",0,8 (47%)
"Mortalities 
23",,1 (4%),
Unit 2,,,
"Research Captures 
13","10 (77%) 
2 (15%) 
1 (8%)",1 (8%),9 (69%)
"Mortalities 
6",,0,
Unit 3,,,
"Research Captures 
0",,,
"Mortalities 
1",,0,
Unit 4,,,
"Research Captures 
1",1 (100%),0,1 (100%)
"Mortalities 
1",,0,
Unit 5,,,
"Research Captures 
1",1 (100%),0,1 (100%)
"Mortalities 
6",,0,
Unit 6,,,
"Research Captures 
1",1 (100%),0,0
"Mortalities 
7",,0,
"STATEWIDE AVERAGES 
 
Research Captures 
33 
44 
Mortalities","29 (88%) 
2 (6%) 
2 (6%)","1 (3%) 
1 (2%)",19 (58%)
